TILEID,LASTNIGHT,FIBER,CLUSTER
2665,20220311,4507,0
40134,20220511,4891,0
3157,20220408,4923,0
2521,20220325,2171,0
82237,20210917,4891,0
20474,20220213,4733,0
21666,20220314,4738,0
26053,20240227,2171,0
2738,20221024,4891,0
23173,20230505,4507,0
23173,20230505,4912,0
7706,20220228,357,0
1402,20210531,4923,0
24346,20220126,357,0
369,20210428,4507,0
369,20210428,4891,0
7736,20220408,4912,0
7736,20220408,4923,0
40847,20230609,357,0
23771,20230402,4891,0
25361,20220317,466,0
40233,20220315,4507,0
40428,20231229,4738,0
40428,20231229,4849,0
40428,20231229,4923,0
24469,20230207,4507,0
23125,20220112,4849,0
41527,20240127,4912,0
20422,20210530,466,0
24820,20220516,4849,0
24820,20220516,4912,0
22214,20220218,357,0
21061,20211215,3448,0
42728,20240131,3448,0
23896,20230413,2171,0
40238,20220316,4507,0
40238,20220316,4733,0
40238,20220316,4849,0
41514,20221226,357,0
41514,20221226,466,0
25606,20210921,4849,0
6815,20230511,466,0
7397,20231006,466,0
23394,20220413,651,0
23789,20230402,4849,0
7893,20220219,466,0
25299,20230208,466,0
40285,20230205,357,-1
8418,20220427,3448,0
41272,20240221,4738,0
5358,20211103,466,0
22416,20211114,4733,0
25407,20231101,4849,0
260,20210429,4891,0
25617,20220516,4923,0
83418,20231021,4891,0
42723,20240402,466,0
80956,20210424,4891,0
10741,20240116,466,0
22079,20230521,2171,0
22396,20230806,4849,0
7929,20220918,4733,0
23209,20210921,4733,0
23209,20210921,4738,0
23209,20210921,4891,0
23209,20210921,4912,0
20998,20211117,4507,0
27801,20231230,4507,0
27801,20231230,4849,0
10505,20230510,2171,0
20248,20210628,4733,0
20248,20210628,4738,0
24814,20220419,4738,0
24814,20220419,4923,0
23000,20220211,4733,0
23000,20220211,4912,0
23705,20211117,4849,0
23705,20211117,4891,0
23705,20211117,4923,0
24426,20231231,3448,0
24665,20220326,651,0
41718,20230822,3448,0
25164,20230406,651,0
24347,20230207,651,0
23395,20230402,4738,0
25377,20221104,466,0
23088,20211216,4738,0
23088,20211216,4891,0
22456,20230421,357,0
25641,20211107,466,0
6797,20240308,2171,0
21907,20240219,4891,0
21872,20211029,4923,0
22825,20221011,466,0
22485,20220918,4507,0
22485,20220918,4891,0
4266,20240217,4849,0
23926,20211016,4507,0
23926,20211016,4738,0
23926,20211016,4912,0
6115,20230510,4507,0
27422,20231125,4733,0
27422,20231125,4849,0
20698,20230824,2171,0
43027,20220429,466,0
25130,20230508,4507,0
23865,20240219,2171,0
20454,20240318,357,0
5787,20220228,3448,0
80970,20210424,4507,0
81061,20210324,4733,0
